Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
17,1,Guido Smit,110536 | ZAC A (31-03) - 19:30:00,1:3:38.868,1 lap,33,1:45.560,33,46.142 km/h
18,2,Dennis van der Velden,110536 | ZAC A (31-03) - 19:30:00,1:3:39.230,1 lap,33,1:45.216,5,46.293 km/h
19,76,Erik van Trigt,110536 | ZAC A (31-03) - 19:30:00,1:3:39.420,1 lap,33,1:45.032,33,46.374 km/h
20,10,Hans Meerbeek,110536 | ZAC A (31-03) - 19:30:00,1:3:40.352,1 lap,33,1:46.130,33,45.895 km/h
21,9,Sander Huisson,110536 | ZAC A (31-03) - 19:30:00,1:3:41.009,1 lap,33,1:48.540,5,44.876 km/h
22,5,Rob uit de Bosch,110536 | ZAC A (31-03) - 19:30:00,1:3:41.463,1 lap,33,1:47.937,5,45.126 km/h
23,27,Jianhao Wu,110536 | ZAC A (31-03) - 19:30:00,1:3:41.726,1 lap,33,1:45.561,5,46.142 km/h
24,78,Kees van Prooijen,110536 | ZAC A (31-03) - 19:30:00,1:3:41.808,1 lap,33,1:35.866,4,50.808 km/h
25,22,Jaco de Hoog,110536 | ZAC A (31-03) - 19:30:00,1:3:41.998,1 lap,33,1:48.202,5,45.016 km/h
26,4,Marc Plönes,110536 | ZAC A (31-03) - 19:30:00,1:3:42.376,1 lap,33,1:47.588,33,45.273 km/h
27,19,Maxim Harteloh,110536 | ZAC A (31-03) - 19:30:00,1:3:53.590,1 lap,33,1:47.913,5,45.136 km/h
28,29,Richard Schouten,110536 | ZAC A (31-03) - 19:30:00,1:3:41.225,2 laps,32,1:48.194,32,45.019 km/h
29,17,Juul Hubert,110536 | ZAC A (31-03) - 19:30:00,44:8.737,11 laps,23,1:47.732,5,45.212 km/h
30,7,Sijmen Kwakkel,110537 | ZAC B (31/03) - 19:31:00,47:22.894,11 laps,23,1:51.723,5,43.597 km/h
31,2,Oskar Loman,110537 | ZAC B (31/03) - 19:31:00,47:23.128,11 laps,23,1:49.641,6,44.425 km/h
32,30,Niels Levelt,110537 | ZAC B (31/03) - 19:31:00,47:23.153,11 laps,23,1:50.658,6,44.017 km/h
33,19,Tijme Aleman,110537 | ZAC B (31/03) - 19:31:00,47:23.191,11 laps,23,1:51.550,10,43.665 km/h
34,4,Bram van der Velden,110537 | ZAC B (31/03) - 19:31:00,47:23.208,11 laps,23,1:50.746,6,43.982 km/h
35,12,Constantijn Dekker,110537 | ZAC B (31/03) - 19:31:00,47:23.297,11 laps,23,1:52.602,17,43.257 km/h
36,11,Thomas Vobl,110537 | ZAC B (31/03) - 19:31:00,47:23.388,11 laps,23,1:52.170,5,43.423 km/h
37,77,Tim van der Eijk,110537 | ZAC B (31/03) - 19:31:00,47:23.446,11 laps,23,1:50.344,6,44.142 km/h
38,24,Ole Olsthoorn,110537 | ZAC B (31/03) - 19:31:00,47:23.478,11 laps,23,1:49.893,6,44.323 km/h
39,25,Johan Olsthoorn,110537 | ZAC B (31/03) - 19:31:00,47:23.518,11 laps,23,1:50.907,6,43.918 km/h
40,33,Rik Bisschop,110537 | ZAC B (31/03) - 19:31:00,47:23.812,11 laps,23,1:52.107,6,43.448 km/h
41,29,Sanne Kerklaan,110537 | ZAC B (31/03) - 19:31:00,47:24.236,11 laps,23,1:52.140,6,43.435 km/h
42,14,Jurn Bezemer,110537 | ZAC B (31/03) - 19:31:00,47:24.594,11 laps,23,1:52.727,6,43.209 km/h
43,84,Robin Hendriks,110537 | ZAC B (31/03) - 19:31:00,47:24.729,11 laps,23,1:52.724,6,43.210 km/h
44,28,Bas Neuteboom,110537 | ZAC B (31/03) - 19:31:00,47:26.234,11 laps,23,1:52.469,6,43.308 km/h
45,5,Albert Berkhout,110537 | ZAC B (31/03) - 19:31:00,47:26.645,11 laps,23,1:52.972,6,43.115 km/h
46,76,Hans Kruithof,110537 | ZAC B (31/03) - 19:31:00,47:26.771,11 laps,23,1:52.420,6,43.327 km/h
47,9,Milou van de Beek,110537 | ZAC B (31/03) - 19:31:00,47:27.063,11 laps,23,1:52.735,17,43.206 km/h
48,32,Björn Christian Benschop,110537 | ZAC B (31/03) - 19:31:00,47:27.104,11 laps,23,1:51.724,17,43.597 km/h
49,17,Melvin Straathof,110537 | ZAC B (31/03) - 19:31:00,47:27.171,11 laps,23,1:52.103,6,43.449 km/h
50,34,Bram Veenhof,110537 | ZAC B (31/03) - 19:31:00,47:27.447,11 laps,23,1:52.888,6,43.147 km/h
51,82,Nienke Bennis,110537 | ZAC B (31/03) - 19:31:00,47:27.724,11 laps,23,1:52.258,6,43.389 km/h
52,18,Ot Kuiper,110537 | ZAC B (31/03) - 19:31:00,47:28.703,11 laps,23,1:51.315,10,43.757 km/h
53,31,Dorien van Iwaarden,110537 | ZAC B (31/03) - 19:31:00,47:28.815,11 laps,23,1:52.767,6,43.193 km/h
54,27,Mark Veenstra,110537 | ZAC B (31/03) - 19:31:00,47:29.660,11 laps,23,1:51.658,17,43.622 km/h
55,86,Rob Vollebregt,110537 | ZAC B (31/03) - 19:31:00,47:29.933,11 laps,23,1:51.986,6,43.495 km/h
56,22,Jesse Flikweert,110537 | ZAC B (31/03) - 19:31:00,47:30.767,11 laps,23,1:52.220,17,43.404 km/h
57,21,Arco Flikweert,110537 | ZAC B (31/03) - 19:31:00,47:31.996,11 laps,23,1:52.592,6,43.261 km/h
58,15,Jeroen de Keijzer,110537 | ZAC B (31/03) - 19:31:00,47:32.331,11 laps,23,1:52.413,17,43.330 km/h
59,16,Lucas Geerlings,110537 | ZAC B (31/03) - 19:31:00,47:4.682,12 laps,22,1:52.105,6,43.449 km/h
60,3,Tim van der Velden,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
61,8,Jasper Hupkes,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
62,13,Daniel El Helou,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
63,18,Robbert Schaap,110536 | ZAC A (31-03) - 19:30:00,0.000,0.000,-,0.000,-,-
64,1,Luuk Nijhoff,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
65,3,Rombout Loman,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
66,6,Bram Berkhout,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
67,8,Jan Kwakkel,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
68,10,Sofie Freeke,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
69,13,Jeroen Wieringa,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
70,20,Hugo Esteban Escudero,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
71,23,Marc Semmeling,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
72,78,Daniek van der Kaaij,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
73,26,Erik Mooij,110537 | ZAC B (31/03) - 19:31:00,0.000,0.000,-,0.000,-,-
74,-??-,- LH-11494 -,,0.000,0.000,-,0.000,-,-
75,-??-,- RF-24824 -,,0.000,0.000,-,0.000,-,-
